Month of Year ID,Month of Year,Supersector ID,Supersector,NSA Employees,Date,NSA Employees Growth
"2008-01","January, 2008","70","Leisure and Hospitality",12944700,"2008-01-01",1.6626089688211734
"2008-02","February, 2008","70","Leisure and Hospitality",13055200,"2008-02-01",1.6063756926716892
"2008-03","March, 2008","70","Leisure and Hospitality",13270300,"2008-03-01",1.1802828714116884
"2008-04","April, 2008","70","Leisure and Hospitality",13554900,"2008-04-01",1.367025373725892
"2008-05","May, 2008","70","Leisure and Hospitality",13896000,"2008-05-01",1.1898693619562208
"2008-06","June, 2008","70","Leisure and Hospitality",14144600,"2008-06-01",0.5187754057818585
"2008-07","July, 2008","70","Leisure and Hospitality",14125600,"2008-07-01",0.5459502167429479
"2008-08","August, 2008","70","Leisure and Hospitality",14115600,"2008-08-01",0.18666647739774153
"2008-09","September, 2008","70","Leisure and Hospitality",13729800,"2008-09-01",-0.10840542172619264
"2008-10","October, 2008","70","Leisure and Hospitality",13408500,"2008-10-01",-0.5606603332814203
"2008-11","November, 2008","70","Leisure and Hospitality",13169100,"2008-11-01",-1.4126577729865697
"2008-12","December, 2008","70","Leisure and Hospitality",13121900,"2008-12-01",-1.7711569412733466
"2009-01","January, 2009","70","Leisure and Hospitality",12616600,"2009-01-01",-2.5346280717204723
"2009-02","February, 2009","70","Leisure and Hospitality",12669900,"2009-02-01",-2.9513144187756604
"2009-03","March, 2009","70","Leisure and Hospitality",12850200,"2009-03-01",-3.1657159220213558
"2009-04","April, 2009","70","Leisure and Hospitality",13104900,"2009-04-01",-3.3198326804329064
"2009-05","May, 2009","70","Leisure and Hospitality",13470900,"2009-05-01",-3.059153713298791
"2009-06","June, 2009","70","Leisure and Hospitality",13683500,"2009-06-01",-3.2599013050916956
"2009-07","July, 2009","70","Leisure and Hospitality",13666700,"2009-07-01",-3.248711559155009
"2009-08","August, 2009","70","Leisure and Hospitality",13642100,"2009-08-01",-3.3544447278188674
"2009-09","September, 2009","70","Leisure and Hospitality",13333100,"2009-09-01",-2.8893356057626476
"2009-10","October, 2009","70","Leisure and Hospitality",13003200,"2009-10-01",-3.022709475332811
"2009-11","November, 2009","70","Leisure and Hospitality",12792500,"2009-11-01",-2.859724658480838
"2009-12","December, 2009","70","Leisure and Hospitality",12769200,"2009-12-01",-2.6878729452289685
"2010-01","January, 2010","70","Leisure and Hospitality",12339700,"2010-01-01",-2.194727581123282
"2010-02","February, 2010","70","Leisure and Hospitality",12418500,"2010-02-01",-1.9842303412023772
"2010-03","March, 2010","70","Leisure and Hospitality",12670300,"2010-03-01",-1.3999782104558682
"2010-04","April, 2010","70","Leisure and Hospitality",13079400,"2010-04-01",-0.19458370533159353
"2010-05","May, 2010","70","Leisure and Hospitality",13377900,"2010-05-01",-0.690377034941986
"2010-06","June, 2010","70","Leisure and Hospitality",13662100,"2010-06-01",-0.15639273577666532
"2010-07","July, 2010","70","Leisure and Hospitality",13698600,"2010-07-01",0.23341406484374427
"2010-08","August, 2010","70","Leisure and Hospitality",13723600,"2010-08-01",0.5974153539411088
"2010-09","September, 2010","70","Leisure and Hospitality",13444100,"2010-09-01",0.8325145690049576
"2010-10","October, 2010","70","Leisure and Hospitality",13202900,"2010-10-01",1.535775809031623
"2010-11","November, 2010","70","Leisure and Hospitality",13026400,"2010-11-01",1.8284150869650184
"2010-12","December, 2010","70","Leisure and Hospitality",13011300,"2010-12-01",1.8959684240202987
"2011-01","January, 2011","70","Leisure and Hospitality",12585100,"2011-01-01",1.9887031289253385
"2011-02","February, 2011","70","Leisure and Hospitality",12684600,"2011-02-01",2.1427708660466243
"2011-03","March, 2011","70","Leisure and Hospitality",12973300,"2011-03-01",2.3914193034103377
"2011-04","April, 2011","70","Leisure and Hospitality",13348000,"2011-04-01",2.05361102191232
"2011-05","May, 2011","70","Leisure and Hospitality",13659000,"2011-05-01",2.1012266499226335
"2011-06","June, 2011","70","Leisure and Hospitality",13950300,"2011-06-01",2.109485364621837
"2011-07","July, 2011","70","Leisure and Hospitality",13988000,"2011-07-01",2.1126246477742248
"2011-08","August, 2011","70","Leisure and Hospitality",14028300,"2011-08-01",2.2202629047771723
"2011-09","September, 2011","70","Leisure and Hospitality",13744200,"2011-09-01",2.2322059490780344
"2011-10","October, 2011","70","Leisure and Hospitality",13466100,"2011-10-01",1.993501427716638
"2011-11","November, 2011","70","Leisure and Hospitality",13321400,"2011-11-01",2.264631824602346
"2011-12","December, 2011","70","Leisure and Hospitality",13291600,"2011-12-01",2.154281278580926
"2012-01","January, 2012","70","Leisure and Hospitality",12956900,"2012-01-01",2.954287212656236
"2012-02","February, 2012","70","Leisure and Hospitality",13110300,"2012-02-01",3.3560380303675323
"2012-03","March, 2012","70","Leisure and Hospitality",13425700,"2012-03-01",3.4871620944555355
"2012-04","April, 2012","70","Leisure and Hospitality",13748200,"2012-04-01",2.9982019778243933
"2012-05","May, 2012","70","Leisure and Hospitality",14106400,"2012-05-01",3.2754960099568047
"2012-06","June, 2012","70","Leisure and Hospitality",14453500,"2012-06-01",3.607090886934331
"2012-07","July, 2012","70","Leisure and Hospitality",14440800,"2012-07-01",3.237060337432085
"2012-08","August, 2012","70","Leisure and Hospitality",14498100,"2012-08-01",3.348944633348303
"2012-09","September, 2012","70","Leisure and Hospitality",14158600,"2012-09-01",3.0150900016006754
"2012-10","October, 2012","70","Leisure and Hospitality",13926300,"2012-10-01",3.417470537126562
"2012-11","November, 2012","70","Leisure and Hospitality",13749500,"2012-11-01",3.2136261954449235
"2012-12","December, 2012","70","Leisure and Hospitality",13776700,"2012-12-01",3.6496734779860964
"2013-01","January, 2013","70","Leisure and Hospitality",13410600,"2013-01-01",3.5016091812084684
"2013-02","February, 2013","70","Leisure and Hospitality",13549900,"2013-02-01",3.3530887927812483
"2013-03","March, 2013","70","Leisure and Hospitality",13835700,"2013-03-01",3.0538444922797323
"2013-04","April, 2013","70","Leisure and Hospitality",14178100,"2013-04-01",3.126954801355814
"2013-05","May, 2013","70","Leisure and Hospitality",14576500,"2013-05-01",3.332529915499348
"2013-06","June, 2013","70","Leisure and Hospitality",14913400,"2013-06-01",3.1819282526723636
"2013-07","July, 2013","70","Leisure and Hospitality",14943300,"2013-07-01",3.4797241150074787
"2013-08","August, 2013","70","Leisure and Hospitality",14958500,"2013-08-01",3.1755885253929828
"2013-09","September, 2013","70","Leisure and Hospitality",14623000,"2013-09-01",3.279985309281991
"2013-10","October, 2013","70","Leisure and Hospitality",14402400,"2013-10-01",3.4187113590831735
"2013-11","November, 2013","70","Leisure and Hospitality",14244400,"2013-11-01",3.599403614676897
"2013-12","December, 2013","70","Leisure and Hospitality",14239500,"2013-12-01",3.3592950416282568
"2014-01","January, 2014","70","Leisure and Hospitality",13862800,"2014-01-01",3.371959494728051
"2014-02","February, 2014","70","Leisure and Hospitality",13974700,"2014-02-01",3.1350784876641153
"2014-03","March, 2014","70","Leisure and Hospitality",14275600,"2014-03-01",3.179456044869432
"2014-04","April, 2014","70","Leisure and Hospitality",14641900,"2014-04-01",3.2712422680048805
"2014-05","May, 2014","70","Leisure and Hospitality",15060000,"2014-05-01",3.316982814804651
"2014-06","June, 2014","70","Leisure and Hospitality",15364100,"2014-06-01",3.022114340123647
"2014-07","July, 2014","70","Leisure and Hospitality",15360300,"2014-07-01",2.7905482724699366
"2014-08","August, 2014","70","Leisure and Hospitality",15391700,"2014-08-01",2.8960123006985996
"2014-09","September, 2014","70","Leisure and Hospitality",15032900,"2014-09-01",2.8031183751624154
"2014-10","October, 2014","70","Leisure and Hospitality",14839200,"2014-10-01",3.0328278620229963
"2014-11","November, 2014","70","Leisure and Hospitality",14647100,"2014-11-01",2.8270759035129593
"2014-12","December, 2014","70","Leisure and Hospitality",14660000,"2014-12-01",2.95305312686541
"2015-01","January, 2015","70","Leisure and Hospitality",14299800,"2015-01-01",3.1523213203681797
"2015-02","February, 2015","70","Leisure and Hospitality",14446300,"2015-02-01",3.3746699392473545
"2015-03","March, 2015","70","Leisure and Hospitality",14696000,"2015-03-01",2.944884978564824
"2015-04","April, 2015","70","Leisure and Hospitality",15074600,"2015-04-01",2.9552175605624953
"2015-05","May, 2015","70","Leisure and Hospitality",15508000,"2015-05-01",2.9747675962815405
"2015-06","June, 2015","70","Leisure and Hospitality",15816100,"2015-06-01",2.9419230543930333
"2015-07","July, 2015","70","Leisure and Hospitality",15873600,"2015-07-01",3.3417316068045544
"2015-08","August, 2015","70","Leisure and Hospitality",15876500,"2015-08-01",3.149749540336675
"2015-09","September, 2015","70","Leisure and Hospitality",15552700,"2015-09-01",3.4577493364553744
"2015-10","October, 2015","70","Leisure and Hospitality",15370900,"2015-10-01",3.5830772548385355
"2015-11","November, 2015","70","Leisure and Hospitality",15193700,"2015-11-01",3.731796737920817
"2015-12","December, 2015","70","Leisure and Hospitality",15210200,"2015-12-01",3.753069577080491
"2016-01","January, 2016","70","Leisure and Hospitality",14814300,"2016-01-01",3.59795241891495
"2016-02","February, 2016","70","Leisure and Hospitality",14977000,"2016-02-01",3.6736050061261363
"2016-03","March, 2016","70","Leisure and Hospitality",15240800,"2016-03-01",3.7071311921611323
"2016-04","April, 2016","70","Leisure and Hospitality",15632500,"2016-04-01",3.700927387791384
"2016-05","May, 2016","70","Leisure and Hospitality",15967000,"2016-05-01",2.95976270312097
"2016-06","June, 2016","70","Leisure and Hospitality",16287700,"2016-06-01",2.9817717389242606
"2016-07","July, 2016","70","Leisure and Hospitality",16347300,"2016-07-01",2.9842001814333234
"2016-08","August, 2016","70","Leisure and Hospitality",16341300,"2016-08-01",2.927597392372374
"2016-09","September, 2016","70","Leisure and Hospitality",15995100,"2016-09-01",2.8445221729989005
"2016-10","October, 2016","70","Leisure and Hospitality",15753900,"2016-10-01",2.491721369600999
"2016-11","November, 2016","70","Leisure and Hospitality",15591500,"2016-11-01",2.6181904341931195
"2016-12","December, 2016","70","Leisure and Hospitality",15540800,"2016-12-01",2.173541439297314
"2017-01","January, 2017","70","Leisure and Hospitality",15170200,"2017-01-01",2.4024084836948085
"2017-02","February, 2017","70","Leisure and Hospitality",15345800,"2017-02-01",2.462442411697937
"2017-03","March, 2017","70","Leisure and Hospitality",15625600,"2017-03-01",2.5248018476720384
"2017-04","April, 2017","70","Leisure and Hospitality",15944500,"2017-04-01",1.995841995841996
"2017-05","May, 2017","70","Leisure and Hospitality",16316800,"2017-05-01",2.190768459948644
"2017-06","June, 2017","70","Leisure and Hospitality",16700500,"2017-06-01",2.5344278197658356
"2017-07","July, 2017","70","Leisure and Hospitality",16689700,"2017-07-01",2.0945354890410037
"2017-08","August, 2017","70","Leisure and Hospitality",16693200,"2017-08-01",2.15343944484221
"2017-09","September, 2017","70","Leisure and Hospitality",16213300,"2017-09-01",1.364167776381517
"2017-10","October, 2017","70","Leisure and Hospitality",16075900,"2017-10-01",2.043938326382673
"2017-11","November, 2017","70","Leisure and Hospitality",15883800,"2017-11-01",1.8747394413622807
"2017-12","December, 2017","70","Leisure and Hospitality",15859200,"2017-12-01",2.048800576546896
"2018-01","January, 2018","70","Leisure and Hospitality",15469000,"2018-01-01",1.9696510263543001
"2018-02","February, 2018","70","Leisure and Hospitality",15635800,"2018-02-01",1.8897678843722712
"2018-03","March, 2018","70","Leisure and Hospitality",15903000,"2018-03-01",1.7752918287937742
"2018-04","April, 2018","70","Leisure and Hospitality",16177800,"2018-04-01",1.4632004766533915
"2018-05","May, 2018","70","Leisure and Hospitality",16569200,"2018-05-01",1.5468719356736615
"2018-06","June, 2018","70","Leisure and Hospitality",16939500,"2018-06-01",1.4310948773988803
"2018-07","July, 2018","70","Leisure and Hospitality",16962300,"2018-07-01",1.6333427203604618
"2018-08","August, 2018","70","Leisure and Hospitality",16971000,"2018-08-01",1.664150672129969
"2018-09","September, 2018","70","Leisure and Hospitality",16488000,"2018-09-01",1.6942880227960995
"2018-10","October, 2018","70","Leisure and Hospitality",16342100,"2018-10-01",1.6558948488109528
"2018-11","November, 2018","70","Leisure and Hospitality",16122700,"2018-11-01",1.5040481496871028
"2018-12","December, 2018","70","Leisure and Hospitality",16141100,"2018-12-01",1.7775171509281678
"2019-01","January, 2019","70","Leisure and Hospitality",15770100,"2019-01-01",1.9464735923459824
"2019-02","February, 2019","70","Leisure and Hospitality",15918900,"2019-02-01",1.8105885212141368
"2019-03","March, 2019","70","Leisure and Hospitality",16173400,"2019-03-01",1.7003081179651638
"2019-04","April, 2019","70","Leisure and Hospitality",16472100,"2019-04-01",1.8191595890664984
"2019-05","May, 2019","70","Leisure and Hospitality",16821900,"2019-05-01",1.5251188952997128
"2019-06","June, 2019","70","Leisure and Hospitality",17156300,"2019-06-01",1.2798488739337053
"2019-07","July, 2019","70","Leisure and Hospitality",17195100,"2019-07-01",1.372455386356803
"2019-08","August, 2019","70","Leisure and Hospitality",17162300,"2019-08-01",1.1272170172647458
"2019-09","September, 2019","70","Leisure and Hospitality",16686500,"2019-09-01",1.2039058709364387
"2019-10","October, 2019","70","Leisure and Hospitality",16556100,"2019-10-01",1.3095012268925046
"2019-11","November, 2019","70","Leisure and Hospitality",16333100,"2019-11-01",1.3049923399926813
"2019-12","December, 2019","70","Leisure and Hospitality",16364500,"2019-12-01",1.3840444579365718
"2020-01","January, 2020","70","Leisure and Hospitality",16056500,"2020-01-01",1.816095015250379
"2020-02","February, 2020","70","Leisure and Hospitality",16211200,"2020-02-01",1.8361821482640133
"2020-03","March, 2020","70","Leisure and Hospitality",15641400,"2020-03-01",-3.2893516514771166
"2020-04","April, 2020","70","Leisure and Hospitality",8485000,"2020-04-01",-48.48865657687848
"2020-05","May, 2020","70","Leisure and Hospitality",10005200,"2020-05-01",-40.52277091172816
"2020-06","June, 2020","70","Leisure and Hospitality",12319700,"2020-06-01",-28.191393249127145
"2020-07","July, 2020","70","Leisure and Hospitality",13020700,"2020-07-01",-24.276683473780324
"2020-08","August, 2020","70","Leisure and Hospitality",13127600,"2020-08-01",-23.509086777413284
"2020-09","September, 2020","70","Leisure and Hospitality",13095100,"2020-09-01",-21.52278788241992
"2020-10","October, 2020","70","Leisure and Hospitality",13253600,"2020-10-01",-19.947330591141636
"2020-11","November, 2020","70","Leisure and Hospitality",13106000,"2020-11-01",-19.758037359717385